Column Index,Variable,Data Type,Description,Notes
41,CentralAir,binary,Central air conditioning,
5,Street,binary,Type of road access to property,
1,MSSubClass,categorial,Identifies the type of dwelling involved in the sale.,
2,MSZoning,categorial,Identifies the general zoning classification of the sale.,
6,Alley,categorical,Type of alley access to property,
15,BldgType,categorical,Type of dwelling,
13,Condition1,categorical,Proximity to various conditions,
14,Condition2,categorical,Proximity to various conditions (if more than one is present),
42,Electrical,categorical,Electrical system,
23,Exterior1st,categorical,Exterior covering on house,
24,Exterior2nd,categorical,Exterior covering on house (if more than one material),
73,Fence,categorical,Fence quality,Could make ordinal
29,Foundation,categorical,Type of foundation,
58,GarageType,categorical,Garage location,
39,Heating,categorical,Type of heating,
16,HouseStyle,categorical,Style of dwelling,
8,LandContour,categorical,Flatness of the property,
10,LotConfig,categorical,Lot configuration,
25,MasVnrType,categorical,Masonry veneer type,
74,MiscFeature,categorical,Miscellaneous feature not covered in other categories,
12,Neighborhood,categorical,Physical locations within Ames city limits,
22,RoofMatl,categorical,Roof material,
21,RoofStyle,categorical,Type of roof,
79,SaleCondition,categorical,Condition of sale,
78,SaleType,categorical,Type of sale,
51,BedroomAbvGr,count,Bedrooms above grade (does NOT include basement bedrooms),
47,BsmtFullBath,count,Basement full bathrooms,
48,BsmtHalfBath,count,Basement half bathrooms,
56,Fireplaces,count,Number of fireplaces,
49,FullBath,count,Full bathrooms above grade,
61,GarageCars,count,Size of garage in car capacity,
50,HalfBath,count,Half baths above grade,
52,KitchenAbvGr,count,Kitchens above grade,
54,TotRmsAbvGrd,count,Total rooms above grade (does not include bathrooms),
31,BsmtCond,ordinal,Evaluates the general condition of the basement,
32,BsmtExposure,ordinal,Refers to walkout or garden level walls,
33,BsmtFinType1,ordinal,Rating of basement finished area,
35,BsmtFinType2,ordinal,Rating of basement finished area (if multiple types),
30,BsmtQual,ordinal,Evaluates the height of the basement,
28,ExterCond,ordinal,Evaluates the present condition of the material on the exterior,
27,ExterQual,ordinal,Evaluates the quality of the material on the exterior,
57,FireplaceQu,ordinal,Fireplace quality,
55,Functional,ordinal,Home functionality (Assume typical unless deductions are warranted),
64,GarageCond,ordinal,Garage condition,
60,GarageFinish,ordinal,Interior finish of the garage,
63,GarageQual,ordinal,Garage quality,
40,HeatingQC,ordinal,Heating quality and condition,
53,KitchenQual,ordinal,Kitchen quality,
11,LandSlope,ordinal,Slope of property,
7,LotShape,ordinal,General shape of property,
18,OverallCond,ordinal,Rates the overall condition of the house,
17,OverallQual,ordinal,Rates the overall material and finish of the house,
65,PavedDrive,ordinal,Paved driveway,
72,PoolQC,ordinal,Pool quality,
9,Utilities,ordinal,Type of utilities available,
59,GarageYrBlt,"real-valued, additive",Year garage was built,
76,MoSold,"real-valued, additive",Month Sold (MM),
19,YearBuilt,"real-valued, additive",Original construction date,
20,YearRemodAdd,"real-valued, additive",Remodel date (same as construction date if no remodeling or additions),
77,YrSold,"real-valued, additive",Year Sold (YYYY),
43,1stFlrSF,"real-valued, multiplicative",First Floor square feet,
44,2ndFlrSF,"real-valued, multiplicative",Second floor square feet,
69,3SsnPorch,"real-valued, multiplicative",Three season porch area in square feet,
68,EnclosedPorch,"real-valued, multiplicative",Enclosed porch area in square feet,
62,GarageArea,"real-valued, multiplicative",Size of garage in square feet,
46,GrLivArea,"real-valued, multiplicative",Above grade (ground) living area square feet,
45,LowQualFinSF,"real-valued, multiplicative",Low quality finished square feet (all floors),
67,OpenPorchSF,"real-valued, multiplicative",Open porch area in square feet,
71,PoolArea,"real-valued, multiplicative",Pool area in square feet,
70,ScreenPorch,"real-valued, multiplicative",Screen porch area in square feet,
66,WoodDeckSF,"real-valued, multiplicative",Wood deck area in square feet,
34,BsmtFinSF1,"real-valued, multiplicative",Type 1 finished square feet,
36,BsmtFinSF2,"real-valued, multiplicative",Type 2 finished square feet,
37,BsmtUnfSF,"real-valued, multiplicative",Unfinished square feet of basement area,
4,LotArea,"real-valued, multiplicative",Lot size in square feet,
3,LotFrontage,"real-valued, multiplicative",Linear feet of street connected to property,
26,MasVnrArea,"real-valued, multiplicative",Masonry veneer area in square feet,
75,MiscVal,"real-valued, multiplicative",$Value of miscellaneous feature,
38,TotalBsmtSF,"real-valued, multiplicative",Total square feet of basement area,
